On day 1, the price is $9.81
On day 2, the price is $9.64
On day 3, the price is $9.72
On day 4, the price is $9.31
On day 5, the price is $9.23
On day 6, the price is $10.27
On day 7, the price is $9.77
On day 8, the price is $9.31
On day 9, the price is $9.83
On day 10, the price is $10.57
On day 11, the price is $10.41
On day 12, the price is $11.13
On day 13, the price is $11.10
On day 14, the price is $10.75
On day 15, the price is $11.36
On day 16, the price is $11.69
On day 17, the price is $11.57
On day 18, the price is $12.55
On day 19, the price is $12.37
On day 20, the price is $12.05
On day 21, the price is $11.66
On day 22, the price is $11.21
On day 23, the price is $11.07
On day 24, the price is $12.56
On day 25, the price is $11.96
On day 26, the price is $13.20
On day 27, the price is $13.01
On day 28, the price is $12.99
On day 29, the price is $12.92
On day 30, the price is $12.82
On day 31, the price is $12.92
On day 32, the price is $14.89
On day 33, the price is $14.58
On day 34, the price is $15.73
On day 35, the price is $16.60
On day 36, the price is $16.46
On day 37, the price is $16.13
On day 38, the price is $16.16
On day 39, the price is $15.59
On day 40, the price is $14.86
On day 41, the price is $15.39
On day 42, the price is $15.89
On day 43, the price is $15.46
On day 44, the price is $17.18
On day 45, the price is $20.12
On day 46, the price is $21.57
On day 47, the price is $21.56
On day 48, the price is $21.32
On day 49, the price is $20.42
On day 50, the price is $20.36
On day 51, the price is $20.89
On day 52, the price is $20.06
On day 53, the price is $21.81
On day 54, the price is $21.45
On day 55, the price is $23.96
On day 56, the price is $27.32
On day 57, the price is $26.97
On day 58, the price is $26.40
On day 59, the price is $29.04
On day 60, the price is $28.25
On day 61, the price is $28.15
On day 62, the price is $27.68
On day 63, the price is $27.44
On day 64, the price is $27.33
On day 65, the price is $27.32
On day 66, the price is $26.79
On day 67, the price is $27.38
On day 68, the price is $29.93
On day 69, the price is $32.83
On day 70, the price is $32.27
On day 71, the price is $34.35
On day 72, the price is $38.73
On day 73, the price is $38.16
On day 74, the price is $40.66
On day 75, the price is $42.86
On day 76, the price is $40.99
On day 77, the price is $44.24
On day 78, the price is $43.07
On day 79, the price is $41.63
On day 80, the price is $47.78
On day 81, the price is $52.21
On day 82, the price is $49.91
On day 83, the price is $57.41
On day 84, the price is $57.23
On day 85, the price is $60.39
On day 86, the price is $57.94
On day 87, the price is $58.96
On day 88, the price is $63.19
On day 89, the price is $68.64
On day 90, the price is $70.45
On day 91, the price is $77.18
On day 92, the price is $77.09
On day 93, the price is $84.86
On day 94, the price is $87.03
On day 95, the price is $84.37
On day 96, the price is $89.95
On day 97, the price is $103.20
